,0,1
0,"<div class=""js-show-description-text""><p>Chef Barry Dindyal is the talent behind this prominent and retro Petworth destination. Diners here will find that time mostly stands still inside, thanks to a simple (by design) aesthetic, dominated by wood with hints of orange, pleather booths and a buzzy bar. Throwback decor aside, most diners are here for <span>...</span></p></div>",
1,"<div class=""js-show-description-text""><p></p><p>It may be the signature cry for falling objects, but Timber Pizza Co is only on its way up. This popular neighborhood hangout is on a mounting spiral after transitioning from a farmer’s market fave to a brick-and-mortar crowd magnet that also boasts a booming takeout business.</p><p>So what’s <span>...</span></p></div>",
2,"<div class=""js-show-description-text""><p>Once a pop-up and now a full-fledged brick-and-mortar establishment, this young'un is making waves in the city’s ramen scene. The kitchen runs the length of this sleek, narrow space in Petworth; and the young chefs running it move about with the deftness of a team many years older. They are <span>...</span></p></div>",
3,"<div class=""js-show-description-text""><p>Chef Rob Sonderman of the Federalist Pig has expanded to chicken—well, an updated version of fried chicken to be precise. This Petworth perch resembles a modern diner with old-school vibes. Yellow-upholstered booths in alcoves are a haven of privacy, while the ubiquitous counter is best for solo guests.<br/>The menu, not <span>...</span></p></div>",
4,"<div class=""js-show-description-text""><p>This cozy Ethiopian den is an homage to Owner Selam Gossa's mother, who was a chef back in Addis Ababa. The setting, featuring a few tables framed by mismatched chairs, a long bar, and private backyard, isn't much to write home about. Having said that, the compact menu encompassing all <span>...</span></p></div>",
5,"<div class=""js-show-description-text""><p>Walk by the kitchen at this Columbia Heights Puebla-inspired restaurant and you'll see a chef forming corn masa into tortillas and cooking them on the griddle. It's the attention to detail that makes this Mexican spot a neighborhood favorite. The menu may be concise, but every dish is made fresh <span>...</span></p></div>",
6,"<div class=""js-show-description-text""><p>Chef Matt Baker is luring diners to Ivy City with this gorgeous spot, which transforms local products into modern, deeply complex items. The décor pays homage to the place's industrial bones with exposed brick and stark walls, softened by greenery. Fine service and an open kitchen enhance the appeal.<br/>Myriad choices <span>...</span></p></div>",
7,"<div class=""js-show-description-text""><p></p><p>Lucky are the eaters who make their way to this unique seafood smokehouse. Inside the warehouse-like space, a daily market and state-of-the-art smoker reside at street level. Above this, find a tavern-like restaurant with a large, open-air rooftop. The fish is fresh, the staff is super-friendly and the vibe is <span>...</span></p></div>",
8,"<div class=""js-show-description-text""><p>Greeting diners at this tiny Columbia Heights retreat is a yellow neon sign. The interior design, however, exudes all the understated feels, by way of white floors, blue banquettes, an intricately decorated counter and sleek metal stools. Nooks framed by geometric screens ensure the utmost privacy.<br/>The menu reveals a modern <span>...</span></p></div>",
9,"<div class=""js-show-description-text""><p>If you've ever considered ordering dessert first, do it here. Flaky, crispy roti canai served with a delicate pandan coconut cream offers a faithful Asian twist on the classic French Toast. It's the kind of cross-cultural deliciousness you can expect from this Malaysian kitchen team, which takes its culinary cues <span>...</span></p></div>",
10,"<div class=""js-show-description-text""><p></p><p>Chef/co-owner Seng Luangrath continues to wow crowds with Thip Khao, in ever-transforming Columbia Heights. The menu tempts with its sheer variety of tempting options ranging from snacks and salads to soups, curries and a panoply of entrées. Naem khao, a crispy coconut rice salad, bursts with fresh and fragrant <span>...</span></p></div>",
11,"<div class=""js-show-description-text""><p></p><p>The mood in this wee dining room is appealingly boisterous, and the food nothing less than well regarded. Yet this team has never let good press go to their heads. Instead, they continue to up their game by creating an array of adobos and other dynamo dishes, inspired by the <span>...</span></p></div>",
12,"<div class=""js-show-description-text""><p></p><p>This focused, consistent and lovely trattoria serves the kind of food that everyone wants to return to again and again. The slender room is instantly welcoming with its working pasta station and a whimsical portrait of Sophia Loren. The name (Italian for “pasta master”) sets a very high bar but <span>...</span></p></div>",
13,"<div class=""js-show-description-text""><p></p><p>This indie hot spot with a retro-chic décor and cool staff has many things going for it. First, there’s the team, who’ve already struck gold on the dining scene. Then there’s the setting, inside the former Heller’s Bakery, which was a local institution. Finally, there’s the menu starring contemporary dishes <span>...</span></p></div>",
14,"<div class=""js-show-description-text""><p></p><p>With its seamless blend of indoor and outdoor spaces, this is a shining beacon amid high-rises, restaurants, and stores galore. Donning that requisite brick walls and farmhouse vibe, the former warehouse feels glam yet spartan—with a stainless steel kitchen, chrome accents, and an impressive glass-encased wine cellar. Such a feel-good sense <span>...</span></p></div>",
15,"<div class=""js-show-description-text""><p></p><p>Set inside the buzzing Union Market, Rappahannock Oyster Bar is so much more than a popular bivalve joint. The feel-good revival story behind it will make you feel more philanthropist than hungry diner, and the ambience is everything you’d expect and then some: counter space, communal seating, a sprinkling <span>...</span></p></div>",
16,"<div class=""js-show-description-text""><p></p><p>You will indeed fare well at Bidwell, tucked inside Union Market with its array of stalls peddling everything from arepas to empanadas. It checks off all of the boxes for a modern hot spot with its industrial-chic design, hipster-packed bar and buzz-worthy cooking. Bidwell takes the farm-to-table trend and tops <span>...</span></p></div>",
17,"<div class=""js-show-description-text""><p>This concept from Chef Juan Manuel Barrientos can be found adjacent to Union Market's La Cosecha. Presentation is the cornerstone here, with an admirable level of showmanship and dishes embody a love letter to the chef's native Colombia.<br/>À la carte is the rule in the front room, but make your way <span>...</span></p></div>",
18,"<div class=""js-show-description-text""><p></p><p>You’ll want to wake up with the rooster to score a reservation at this rustic Italian gem as it’s incredibly popular, and always packed. Walk-ins can snag a seat at the three-sided bar that anchors the room, decked out in full country charm with exposed brick walls, reclaimed timber <span>...</span></p></div>",
19,"<div class=""js-show-description-text""><p>Self-appointed as a ""Neo-Neapolitan"" style pizzeria, this is a bright spot with a line of of colorful tiles, red stools and a blazing open kitchen equipped with—you guessed it—a wood-burning oven. You may even see Chef/owner Matteo Venini manning this mighty machine, as he is known to turn out pies faster than you <span>...</span></p></div>",
20,"<div class=""js-show-description-text""><p>Chef Barry Dindyal is the talent behind this prominent and retro Petworth destination. Diners here will find that time mostly stands still inside, thanks to a simple (by design) aesthetic, dominated by wood with hints of orange, pleather booths and a buzzy bar. Throwback decor aside, most diners are here for <span>...</span></p></div>",
21,"<div class=""js-show-description-text""><p></p><p>It may be the signature cry for falling objects, but Timber Pizza Co is only on its way up. This popular neighborhood hangout is on a mounting spiral after transitioning from a farmer’s market fave to a brick-and-mortar crowd magnet that also boasts a booming takeout business.</p><p>So what’s <span>...</span></p></div>",
22,"<div class=""js-show-description-text""><p>Once a pop-up and now a full-fledged brick-and-mortar establishment, this young'un is making waves in the city’s ramen scene. The kitchen runs the length of this sleek, narrow space in Petworth; and the young chefs running it move about with the deftness of a team many years older. They are <span>...</span></p></div>",
23,"<div class=""js-show-description-text""><p>Chef Rob Sonderman of the Federalist Pig has expanded to chicken—well, an updated version of fried chicken to be precise. This Petworth perch resembles a modern diner with old-school vibes. Yellow-upholstered booths in alcoves are a haven of privacy, while the ubiquitous counter is best for solo guests.<br/>The menu, not <span>...</span></p></div>",
24,"<div class=""js-show-description-text""><p>This cozy Ethiopian den is an homage to Owner Selam Gossa's mother, who was a chef back in Addis Ababa. The setting, featuring a few tables framed by mismatched chairs, a long bar, and private backyard, isn't much to write home about. Having said that, the compact menu encompassing all <span>...</span></p></div>",
25,"<div class=""js-show-description-text""><p>Walk by the kitchen at this Columbia Heights Puebla-inspired restaurant and you'll see a chef forming corn masa into tortillas and cooking them on the griddle. It's the attention to detail that makes this Mexican spot a neighborhood favorite. The menu may be concise, but every dish is made fresh <span>...</span></p></div>",
26,"<div class=""js-show-description-text""><p>Chef Matt Baker is luring diners to Ivy City with this gorgeous spot, which transforms local products into modern, deeply complex items. The décor pays homage to the place's industrial bones with exposed brick and stark walls, softened by greenery. Fine service and an open kitchen enhance the appeal.<br/>Myriad choices <span>...</span></p></div>",
27,"<div class=""js-show-description-text""><p></p><p>Lucky are the eaters who make their way to this unique seafood smokehouse. Inside the warehouse-like space, a daily market and state-of-the-art smoker reside at street level. Above this, find a tavern-like restaurant with a large, open-air rooftop. The fish is fresh, the staff is super-friendly and the vibe is <span>...</span></p></div>",
28,"<div class=""js-show-description-text""><p>Greeting diners at this tiny Columbia Heights retreat is a yellow neon sign. The interior design, however, exudes all the understated feels, by way of white floors, blue banquettes, an intricately decorated counter and sleek metal stools. Nooks framed by geometric screens ensure the utmost privacy.<br/>The menu reveals a modern <span>...</span></p></div>",
29,"<div class=""js-show-description-text""><p>If you've ever considered ordering dessert first, do it here. Flaky, crispy roti canai served with a delicate pandan coconut cream offers a faithful Asian twist on the classic French Toast. It's the kind of cross-cultural deliciousness you can expect from this Malaysian kitchen team, which takes its culinary cues <span>...</span></p></div>",
30,"<div class=""js-show-description-text""><p></p><p>Chef/co-owner Seng Luangrath continues to wow crowds with Thip Khao, in ever-transforming Columbia Heights. The menu tempts with its sheer variety of tempting options ranging from snacks and salads to soups, curries and a panoply of entrées. Naem khao, a crispy coconut rice salad, bursts with fresh and fragrant <span>...</span></p></div>",
31,"<div class=""js-show-description-text""><p></p><p>The mood in this wee dining room is appealingly boisterous, and the food nothing less than well regarded. Yet this team has never let good press go to their heads. Instead, they continue to up their game by creating an array of adobos and other dynamo dishes, inspired by the <span>...</span></p></div>",
32,"<div class=""js-show-description-text""><p></p><p>This focused, consistent and lovely trattoria serves the kind of food that everyone wants to return to again and again. The slender room is instantly welcoming with its working pasta station and a whimsical portrait of Sophia Loren. The name (Italian for “pasta master”) sets a very high bar but <span>...</span></p></div>",
33,"<div class=""js-show-description-text""><p></p><p>This indie hot spot with a retro-chic décor and cool staff has many things going for it. First, there’s the team, who’ve already struck gold on the dining scene. Then there’s the setting, inside the former Heller’s Bakery, which was a local institution. Finally, there’s the menu starring contemporary dishes <span>...</span></p></div>",
34,"<div class=""js-show-description-text""><p></p><p>With its seamless blend of indoor and outdoor spaces, this is a shining beacon amid high-rises, restaurants, and stores galore. Donning that requisite brick walls and farmhouse vibe, the former warehouse feels glam yet spartan—with a stainless steel kitchen, chrome accents, and an impressive glass-encased wine cellar. Such a feel-good sense <span>...</span></p></div>",
35,"<div class=""js-show-description-text""><p></p><p>Set inside the buzzing Union Market, Rappahannock Oyster Bar is so much more than a popular bivalve joint. The feel-good revival story behind it will make you feel more philanthropist than hungry diner, and the ambience is everything you’d expect and then some: counter space, communal seating, a sprinkling <span>...</span></p></div>",
36,"<div class=""js-show-description-text""><p></p><p>You will indeed fare well at Bidwell, tucked inside Union Market with its array of stalls peddling everything from arepas to empanadas. It checks off all of the boxes for a modern hot spot with its industrial-chic design, hipster-packed bar and buzz-worthy cooking. Bidwell takes the farm-to-table trend and tops <span>...</span></p></div>",
37,"<div class=""js-show-description-text""><p>This concept from Chef Juan Manuel Barrientos can be found adjacent to Union Market's La Cosecha. Presentation is the cornerstone here, with an admirable level of showmanship and dishes embody a love letter to the chef's native Colombia.<br/>À la carte is the rule in the front room, but make your way <span>...</span></p></div>",
38,"<div class=""js-show-description-text""><p></p><p>You’ll want to wake up with the rooster to score a reservation at this rustic Italian gem as it’s incredibly popular, and always packed. Walk-ins can snag a seat at the three-sided bar that anchors the room, decked out in full country charm with exposed brick walls, reclaimed timber <span>...</span></p></div>",
39,"<div class=""js-show-description-text""><p>Self-appointed as a ""Neo-Neapolitan"" style pizzeria, this is a bright spot with a line of of colorful tiles, red stools and a blazing open kitchen equipped with—you guessed it—a wood-burning oven. You may even see Chef/owner Matteo Venini manning this mighty machine, as he is known to turn out pies faster than you <span>...</span></p></div>",
40,"<div class=""js-show-description-text""><p>Rasika vets, Dante Datta and Chef Suresh Sundas, are behind this much-anticipated Indian operation. The corner space, flaunting a windowed façade and white-ringed Sanskrit logo, is an instant attention grabber. Weather permitting, a large sidewalk increases the dining capacity.<br/>Inside, at the bar-counter set abuzz with vibrant tunes, the kitchen team takes <span>...</span></p></div>",
41,"<div class=""js-show-description-text""><p>Stone-cold serious barbecue makes its way to the DC area via this rustic spot from owner, Steve Salis. A handful of communal picnic tables arranged under a string of bistro lights mark the entrance to the Federalist Pig. Once inside, you’ll see a long line of customers snaking through the space, <span>...</span></p></div>",
42,"<div class=""js-show-description-text""><p></p><p>“Sababa,” which means “cool” in Hebrew slang, is exactly as advertised. Sharing a wall and connected by a gorgeous zinc bar to Bindaas next door, this ode to the Middle East is awash in Mediterranean tiles. But despite the hip digs, it’s all about food here. The fine-tuned menu <span>...</span></p></div>",
43,"<div class=""js-show-description-text""><p></p><p>Climb the creaky wooden stairs and take your seat among a homey hodgepodge of chairs and tables. If it feels like someone’s house, that’s the point (you’ll pour your own water, too). There’s no menu to bother with, so settle in with your pals and prepare yourself for a <span>...</span></p></div>",
44,"<div class=""js-show-description-text""><p>A talented husband-and-wife duo is behind this appealingly contemporary, hipster hot spot. The setting is the perfect match for its modern, edgy cuisine, which meanders from the Middle East and Mediterranean all the way to Asia.<br/>There is unabashed creativity unleashed in such dishes as fried oyster mushrooms with mushroom powder <span>...</span></p></div>","<div class=""js-show-description-text"">
<p></p>
</div>"
45,"<div class=""js-show-description-text""><p></p><p>This airy, quaint, and relaxed all-day spot likes to keep things low-maintenance. The price point too is agreeably lower than its fussier competitors, and the Latin American food is decidedly scrumptious. No wonder, it's a legitimate local favorite.<br/>Breakfast is a must, especially if the messy, eggy arepa is on offer. Served wrapped in <span>...</span></p></div>",
46,"<div class=""js-show-description-text""><p></p><p>Maketto is the love child of the hip gods of fashion and food. Walk in off ever-changing H Street and you’ll instantly be met with glittering cases brimming with eyewear and accessories. Stave off the urge to shop (for now) and focus on the menu instead—a mod mashup of <span>...</span></p></div>",
47,"<div class=""js-show-description-text""><p></p><p>Many restaurants boast of inspired flavors and technique, but few flaunt such cooking prowess as Maydān—a veritable showstopper whose roaring hearth verges on wildfire. The precision required of the team may be consuming and cooking technique elemental, but the results are delicious bliss. À la carte is available, but the prix-fixe is <span>...</span></p></div>",
48,"<div class=""js-show-description-text""><p></p><p>You’ll go up the stairs, not down to Toki Underground, which shares the same front door as The Pug Bar. Once inside, notice raw wood beams, walls plastered with stickers and scribble, as well as dangling Christmas lights that exude a sense of childlike angst. That angst may grow <span>...</span></p></div>",
49,"<div class=""js-show-description-text""><p>There are more than seven reasons to visit this gorgeous bi-level restaurant and good looks are certainly one. The airy and sophisticated décor features greenery crawling up the brick walls and elegant mid-century modern touches.<br/>The food too generates plenty of buzz, thanks to an ambitious menu that pulls from Venezuela, <span>...</span></p></div>",
50,"<div class=""js-show-description-text""><p>A simple black and glass facade belies the delicious small plates available at this place. Pass a set of double doors to be greeted by a U-shaped bar, arched ceilings, and romantic dining room, Fitted out with muted green-tiled floors and snug tables, the restrooms are perhaps the most unique <span>...</span></p></div>",
51,"<div class=""js-show-description-text""><p></p><p>When three forward-thinking restaurateurs combine their talents, the result is bound to be an easygoing haven, where the food, drinks and hospitality mesh effortlessly. Fittingly, the mood here is buzzy and the interior colorful, with watery blue murals and highly attentive servers. Don’t be fooled by the casual vibe though, <span>...</span></p></div>",
52,"<div class=""js-show-description-text""><p></p><p>Pioneers of vegan cuisine, the power couple behind this operation initially made it big at Philly’s Vedge. Set at the base of an urbane building, the industrial-chic space is abuzz with locals, who are all here for their haute approach to vegan cuisine. Having said that, they turn out so much more than just that. Flavorful and satisfying <span>...</span></p></div>",
53,"<div class=""js-show-description-text""><p>The flavors and heat of Southeast Asian are on full display at this Northeast DC eatery. Though the menu spans much of the country, Laos’ menu—sporting a section devoted entirely to vegans—still manages to be original, offering ingredients that are rarely found in similar restaurants. It also promises—and delivers on—dishes <span>...</span></p></div>",
54,"<div class=""js-show-description-text""><p></p><p>It’s yellow, not the deep blue of its name, that defines this sunny Indian restaurant. Located in a cheerful house with a patio full of colorful picnic tables, Indigo is far from fancy (it’s largely self-service and food is served in disposable containers). But, how can you not adore <span>...</span></p></div>",
55,"<div class=""js-show-description-text""><p>This family-owned and operated Adams Morgan spot easily gives its brethren a run for their money—the food is that good. Its interior is welcoming, flooded with natural light and generously spaced tables; comfortable booths along one wall, beautiful artwork, as well as a long bar pouring wines and spirits welcomes <span>...</span></p></div>",
56,"<div class=""js-show-description-text""><p></p><p>It's set on busy 14th Street, but beautiful Bresca far from blends in with the crowd. Instead, it mixes the warmth of a neighborhood treasure with the talent of a special occasion spot. Inside, splashes of gold, a living wall crafted from moss and design elements teetering between whimsical and downright surreal, <span>...</span></p></div>",
57,"<div class=""js-show-description-text""><p>Dining at Ryan Ratino's daring offshoot of sister restaurant Bresca, which sits just above, is an intimate experience replete with surprises. Akin to stumbling into a gem off the beaten path, this space is abuzz, and the highly technical cooking is exemplary.<br/>The staff glide about seamlessly delivering dishes that are <span>...</span></p></div>",
58,"<div class=""js-show-description-text""><p></p><p>The neighborhood teems with energy, and this Italian dining room dances to that same beat. Though a second location lives on in Georgetown, this original is unmatched in both charm and quality. The lower level of this two-storied space feels much like an osteria, thanks to a welcoming Carrara marble <span>...</span></p></div>",
59,"<div class=""js-show-description-text""><p></p><p>Lapis-colored columns set against whitewashed walls set the tone for a restaurant that gleams like its namesake jewel. From the stunning Afghan rugs warming the floor to the sepia-toned heirloom photos on the walls, this place exudes warmth and charm, albeit in a highly stylish manner.</p><p>Husband-and-wife owners Zubair <span>...</span></p></div>",
60,"<div class=""js-show-description-text""><p>Set in a stylish space with playful décor (one wall boasts a picture of President Obama eating a double), this is a menu devoted to Trinidadian street food. The chef's experience at some of the top kitchens in DC simply ensures that quality and execution is through the roof. Everything <span>...</span></p></div>",
61,"<div class=""js-show-description-text""><p></p><p>Tucked into a buzzing corner, this sunny little retreat packs a serious flavor punch. Guests may grab a seat at the counter facing the open kitchen, or in one of two dining areas decked out with sleek tables and blonde wood chairs. Weather permitting, there’s outdoor seating as well.<br/>Chef Wade Hoo Fatt is <span>...</span></p></div>",
62,"<div class=""js-show-description-text""><p>The space is snug, romantic and trendy; its cooking is notably creative; and beverages are reviving. Tastefully decked out with artwork, smoky mirrors and a full bar, gracious servers along with plush seats will lull you into a soothing and delicious meal.<br/>Chef Cristian Granada's dynamic menu certainly leans Peruvian, it also <span>...</span></p></div>",
63,"<div class=""js-show-description-text""><p>It is highly rare for a tasting menu to leave one feeling—well—energized, but so goes the imaginative cooking at this vegetable-focused gem. Who knew that turnip juice makes for good bread or that oysters can turn into a creamy and yet entirely creamless sauce? Chef Rob Rubba did, and his <span>...</span></p></div>",
64,"<div class=""js-show-description-text""><p>Chef Myo Htun, who hails from Myanmar, has spent time refining his culinary skills. The result? This vibrant Shaw operation, known for its conversation-worthy cocktails and excellent cuisine. Granted, while ramen may be all the rage in town, only a few rise to the level of this delicious hot spot. <span>...</span></p></div>",
65,"<div class=""js-show-description-text""><p></p><p>Take a break from the Beltway and head to Millie’s. It’s an offshoot of the Nantucket original, with a loyal whale-patterned shorts-wearing crowd. Sound preppy? It is. The space nails that breezy, nautical vibe with navy blue booths, a ceiling strung with boats and not-too-twee ship lanterns. It’s almost <span>...</span></p></div>",
66,"<div class=""js-show-description-text""><p>This bright and trendy sibling-owned spot is made with love—and it clearly shows. Enter to find a smattering of yellow metal chairs, walls vibrant with art and a kitchen teeming with a focused brigade—serious women chefs preparing complex Ethiopian fare, with nostalgia at the forefront.<br/>The family platter, with both vegetarian <span>...</span></p></div>",
67,"<div class=""js-show-description-text""><p></p><p>Truth be told, Convivial excels in all areas. It scores major points for its location, anchoring the base of City Market at O in the hip Shaw neighborhood; ranks high on style with its clean, rustic-modern aesthetic; and boasts warm service—Chef and co-owner Cedric Maupillier is often seen chatting with <span>...</span></p></div>",
68,"<div class=""js-show-description-text""><p>This bright and bold kid on the block boasts a concise menu with strong American inflections. Enter to discover two colorful dining rooms on either side of the space, as well as a buzzing bar in the back. Spread across a few floors (that culminate in a rooftop bar as <span>...</span></p></div>",
69,"<div class=""js-show-description-text""><p></p><p>Go ahead and order breakfast all day long, since Keren keeps the morning meal front and center. However, before you show up expecting bacon and eggs, take a second look, as this is a showpiece of Eritrean cuisine. The East African nation was once occupied by Italy, and this <span>...</span></p></div>",
70,"<div class=""js-show-description-text""><p></p><p>Set on the second floor of a townhouse just outside Little Ethiopia, this tidy dining room may have the bright walls and exposed brick so often seen in mom-and-pop spots, but rest assured that it delivers more than just a spicy stew with a home-kitchen feel.<br/>It’s the under-the-radar and off-the-menu <span>...</span></p></div>",
71,"<div class=""js-show-description-text""><p></p><p>With its slightly nautical ambience and casual pub vibe, this spot makes an ideal clubhouse for play-hard types. And while places that look this good usually don’t have the menu to match, Pearl Dive’s kitchen gives the dining room a run for its money.</p><p>The lineup is true-blue American <span>...</span></p></div>",
