,review
0,"Chef Barry Dindyal is the talent behind this prominent and retro Petworth destination. Diners here will find that time mostly stands still inside, thanks to a simple (by design) aesthetic, dominated by wood with hints of orange, pleather booths and a buzzy bar. Throwback decor aside, most diners are here for the chef's delicate rendition of beloved Southern classics. Crisp, tender and enticingly juicy, fried chicken takes center stage. Like most other items on this menu, it is made-to-order daily and absolutely worth the wait. When coupled with succulent vegan collard greens or homemade French fries, it transforms into a heartwarming delight. Can't manage another morsel? A taste of the lemon cake slathered with butter cream will change your mind in a flash.
"
1,"It may be the signature cry for falling objects, but Timber Pizza Co is only on its way up. This popular neighborhood hangout is on a mounting spiral after transitioning from a farmer’s market fave to a brick-and-mortar crowd magnet that also boasts a booming takeout business.So what’s all the fuss about? It’s the flavorful cooking, of course. A few bites into the Griffin salad and it’s clear this kitchen knows how to handle itself. Those in the know order a half and half to explore the wide variety of pizzas. The D&amp;D’s mix of za’atar, finely diced sweet peppers and garlic chips is inventively delicious; while The Hughes piles bacon, cherry tomatoes, jalapeños and basil atop a white cheese pie slathered with a subtle and sweet tomato sauce.
"
2,"Once a pop-up and now a full-fledged brick-and-mortar establishment, this young'un is making waves in the city’s ramen scene. The kitchen runs the length of this sleek, narrow space in Petworth; and the young chefs running it move about with the deftness of a team many years older. They are as focused as the menu, which is all ramen except for the karaage served with yuzu mayo.Carefully composed bowls feature thin, chewy, house-made noodles accompanied by delicate broths with nuance and depth. The signature bowl is a smoky, triple-threat combination of tonkotsu, chicken chintan and dashi. The soy-sauce-based truffle shoyu, which also features meaty cuts of pork belly, spinach and bamboo shoots, warrants slurping. Vegan ramen is also available.
"
3,"Chef Rob Sonderman of the Federalist Pig has expanded to chicken—well, an updated version of fried chicken to be precise. This Petworth perch resembles a modern diner with old-school vibes. Yellow-upholstered booths in alcoves are a haven of privacy, while the ubiquitous counter is best for solo guests.The menu, not unlike the concept, is focused. Guests can build their own bucket (or combo) and sandwich, which can be made with waffles. Starters like hot honey cauliflower; and sides like buttermilk smashed potatoes hit all the right spots. Spicy seasoning is an option for those who dare, but rolls—finished with honey butter and Maldon sea salt—are a must. Then comes the ""fancy fried chicken,"" which is brined for 24 hours and fried to crisp perfection. 
"
4,"This cozy Ethiopian den is an homage to Owner Selam Gossa's mother, who was a chef back in Addis Ababa. The setting, featuring a few tables framed by mismatched chairs, a long bar, and private backyard, isn't much to write home about. Having said that, the compact menu encompassing all the classics brings diners in by the droves. From vegetarian options to staples like tibs, this kitchen does it all. A platter of spongy injera is served with each dish for a bit of flourish. Tear strips of it to dip into the fragrant yebeg we't (spiced lamb stew with red chili sauce); or the shiro we't special (chickpea flour stew with tomato, garlic, and spices). With such quenching sips as the Builder (a take on the spritz with Ethiopian Honey Wine), who needs dessert?
"
5,"Walk by the kitchen at this Columbia Heights Puebla-inspired restaurant and you'll see a chef forming corn masa into tortillas and cooking them on the griddle. It's the attention to detail that makes this Mexican spot a neighborhood favorite. The menu may be concise, but every dish is made fresh and with great care. Even the green salsa that hits the table as soon as you take your seat is a standout. Start with the tacos—lighter than traditional tortillas—typically layered with crispy-edged, juicy barbacoa and red chili oil-flavored chorizo. Follow that up with the regional specialty—mole poblano with tender chicken and a slightly sweet, slightly kicky Puebla-style sauce. Good news for suburban dwellers—there is a sister location in Maryland. 
"
6,"Greeting diners at this tiny Columbia Heights retreat is a yellow neon sign. The interior design, however, exudes all the understated feels, by way of white floors, blue banquettes, an intricately decorated counter and sleek metal stools. Nooks framed by geometric screens ensure the utmost privacy.The menu reveals a modern take on Hong Kong plates. These high-heat wok dishes show a blend of fresh ingredients and balanced flavors. Lotus root salad with anchovy dust and a charred tomato vinaigrette; or cured hamachi spiced with cumin, brushed with seaweed oil and set atop watermelon make for a great starting point. Not far behind, Wagyu rosettes gently poached in a ""mala"" broth are crowned by duck egg yolk and soy foam for a flourishing finish. 
"
7,"If you've ever considered ordering dessert first, do it here. Flaky, crispy roti canai served with a delicate pandan coconut cream offers a faithful Asian twist on the classic French Toast. It's the kind of cross-cultural deliciousness you can expect from this Malaysian kitchen team, which takes its culinary cues from India and China.To that end, both noodles and rice form the heart of this menu. Char kway teow features seared flat rice strands tossed with shrimp, Chinese sausage and bean sprouts. Hearty pork vindaloo boasts layer upon layer of just the right spice, heat and acid. Fried chicken arrives doused in a yellow curry flecked with curry leaves. Yes, you should share everything, but no, you cannot nap on those turquoise couches after.
"
8,"Chef/co-owner Seng Luangrath continues to wow crowds with Thip Khao, in ever-transforming Columbia Heights. The menu tempts with its sheer variety of tempting options ranging from snacks and salads to soups, curries and a panoply of entrées. Naem khao, a crispy coconut rice salad, bursts with fresh and fragrant flavor, while muu som, cured and slow-cooked pork belly, is wonderfully fatty. Crispy pig ears dusted with a deliciously tart tamarind salt and dipped in fermented chili-fish sauce are both original and outstanding; but the knap paa, or Chilean sea bass, is a true standout. Brushed with curry paste and coconut cream, then grilled in a banana leaf, this dish will have you wondering if it's dinner or a present?
"
9,"The mood in this wee dining room is appealingly boisterous, and the food nothing less than well regarded. Yet this team has never let good press go to their heads. Instead, they continue to up their game by creating an array of adobos and other dynamo dishes, inspired by the Philippines with subtle Chinese and Spanish influences.Don’t look for homestyle, since they do their best work on genre-bending dishes. Dig into the vibrant purple ensaladang ifugao, or kinilaw na pugita with octopus and salt-cured olives. Some may even throw caution to the wind and go for the weekly dinner menu, unveiling the likes of adobong dilaw. This moist and tender claypot chicken special, tossed with turmeric-infused coconut sauce, is best when paired with a mound of white rice.
"
